小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
世包国际中心(商住),在售,[江干-钱江新城]杭州市江干区市民街地铁4号,一居(3)，二居(2)，三居(2),2018.03.16,"最低39,000元/m²起",532-872万元
东方君悦(商住),在售,[江干-钱江新城]民心路88号,一居(4)，二居(2),2018.03.16,"最低42,000元/m²起",260-790万元
杭州港龙城(商住),在售,[江干]江干杭州地铁1、4号线彭埠站D出口 ,一居(3),2018.03.15,"均价24,000元/m²",230-292万元
招商远洋春秋华庭,在售,[拱墅-上塘]储鑫路与沈康路交汇处,三居(2)，四居(2),2018.01.29,"最低30,000元/m²起",267-417万元
融创宜和园,在售,[拱墅-申花]登云路与莫干山路交叉口西南200米,四居(2),2018.02.07,"最低48,000元/m²起",744-926万元
佳源银座,售罄,[拱墅-申花]莫干山路949号（莫干山路...,,2018.02.07,"均价50,000元/m²",总价待定
祥生云溪新语(商住),在售,[西湖-之江]文景路与碧波路交叉口,,2018.02.02,"均价32,000元/m²",128-160万元
祥生云溪新语,在售,[西湖-之江]文景路与碧波路交叉口,三居(1)，四居(3),2018.02.02,"均价32,000元/m²",总价待定
万科融信西雅图,待售,[西湖-三墩]紫金港路与庄墩路交叉口庄墩...,三居(2)，四居(3),2018.01.24,售价待定,总价待定
飞鸟客(商住),待售,[余杭-西溪]杭州市余杭区文一西路辅路与...,不限(3),2018.03.15,售价待定,总价待定
璞玉公馆(商住),待售,[江干]江干德胜东路、胜稼路交汇处,二居(1),2018.03.08,售价待定,"24,100元/m²"
宝龙城市广场(商住),待售,[江干-下沙]2号大街与25号大街交叉口...,一居(1)，二居(1)，三居(1),2018.03.13,"均价15,500元/m²",68万元
华润翠庭,售罄,[下城-华丰]近华丰路和华中路交叉口,三居(4),,"均价15,144元/m²",总价待定
绿城运河郡(商住),售罄,[拱墅-桥西]小河路以东、昼锦街以南、运...,一居(4)，二居(1),2017.10.18,"均价19,000元/m²",总价待定
众安学君里,待售,[余杭-闲林]天目山西路和东西大道交汇处,三居(5),2018.03.07,售价待定,"14,000元/m²"
上实海上海,待售,[余杭-勾庄]古墩路与金汇南路交汇处,二居(6)，三居(7)，四居(6),2018.01.24,售价待定,"24,500元/m²"
杭州中央车站广场,待售,[江干]东宁路与鸿泰路交叉口（杭州东站东...,,2018.02.22,售价待定,总价待定
嘉里桦枫居,售罄,"[下城-华丰]东至油车港,南至华丰路，西...",二居(4)，三居(5)，四居(1),,"均价15,000元/m²",总价待定
杭州万达广场,售罄,[拱墅]拱墅石祥路和杭行路交汇处东北方向,,2018.01.29,售价待定,"18,500元/m²"
首开望宸,售罄,[拱墅-半山]半山东路与虎山路交汇处,三居(7),2018.02.07,"均价35,000元/m²",总价待定
金地大运河府,售罄,[拱墅-桥西]拱墅通益路与花园岗街交叉口,三居(1)，四居(1),2018.01.29,售价待定,总价待定
金隅Smart(商住),在售,[江干]24号大街与19号交汇处东南角（...,一居(4),2018.03.08,"均价16,000元/m²",83万元
领骏世界,售罄,[下城-市中心]潮王路(浙江工业大学东侧...,一居(5)，二居(5),,"均价19,495元/m²",总价待定
