小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
禹洲招商拾鲤,在售,[相城]江苏省苏州市相城区凤湖路8号,三居(3)，四居(2),2018.03.16,"均价14,000元/m²",125-177万元
中粮祥云国际,在售,[相城]相城大道西建元路北,三居(4)，四居(13)，五居及以上(4),2018.03.15,"最低21,000元/m²起",336万元
恒基发现岛(商办),在售,[相城]相城人民路与华元路交汇处,开间(1),2018.03.14,"均价12,000元/m²",50-79万元
卓兴澜庭,在售,相城 - 太东路与聚金路交汇处（太平镇附近）,二居(3)，四居(1),2018.03.07,"均价17,000元/m²",136-223万元
花样年别样城,在售,[吴中]伍相路3号（与香山南路交汇处）,二居(1)，三居(2),2018.02.26,"均价12,000元/m²",106-152万元
澳海胥江湾(别墅),在售,[吴中]东新路西侧，腾胥路以北,二居(1)，三居(2)，四居(1),2018.01.10,180-430万元/套,
中旅水泊堂前(别墅),在售,[吴中]太湖度假区香山南路与承祖路交汇处,二居(3)，三居(1)，四居(1),2018.02.26,180-410万元/套,
澳海胥江湾,在售,[吴中]东新路西侧，腾胥路以北,二居(2)，三居(1),2018.02.24,"均价10,500元/m²",182万元
水岸清华瀚宫,在售,吴中 - 吴中大道1001号（友新高架西侧）,二居(1)，三居(1)，四居(1),2017.11.28,"均价21,500元/m²",194-559万元
绿地香奈,在售,[吴江-松陵]庞杨路与秋枫街交汇处,三居(2)，四居(2)，五居及以上(2),2018.03.14,"均价16,000元/m²",218-235万元
伟业优橙家,在售,吴江 - 吴江花港路南、亨通路以东（中山北路与花港路交汇处往东100米...,三居(8),2018.03.14,"均价13,500元/m²",130-149万元
MOC芯城汇,在售,相城 - 苏州高铁新城澄阳路与南天成路交叉口（苏州北站正对面）,三居(4)，四居(1),2018.03.10,"均价22,000元/m²",273-410万元
华丽家族太湖上景花园(别墅),在售,吴中 - 太湖国家旅游区环太湖大道138号（蒯祥公园西侧500米）,三居(6)，五居及以上(2),2018.01.11,"248-1,280万元/套",
万科苏高新四季风景花园,在售,[吴江]吴江区长板路1号,三居(3)，四居(3),2018.03.15,"均价13,500元/m²",157-188万元
绿地江南华府,待售,[吴江-松陵]中山南路与庞杨路交叉口,三居(4)，四居(2),2018.03.15,"均价14,800元/m²",151-197万元
正荣悦棠湾,在售,吴江 - 盛泽镇中心大道与南环交汇处 （禧云龙酒店对面）,三居(2)，四居(3),2018.03.15,"均价9,800元/m²",105-130万元
普禧观澜,在售,相城 - 春秋路东、春华路北（春申湖大酒店对面）,三居(3)，四居(1),2018.03.15,"均价18,000元/m²",227-245万元
长成锦溪禾府(别墅),在售,新区 - 嵩山路与石林路间交界处（距大阳山湿地公园200米）,四居(2),2018.01.04,580-680万元/套,
太湖颐景,在售,吴中 - 吴中区吴郡与君益街交汇处（永旺梦乐城东100米处）,二居(1)，三居(1)，四居(2),2018.01.31,"均价20,000元/m²",250-355万元
苏州湾壹号,在售,吴江 - 顾家荡路南，高新路北（东太湖生态公园南）,三居(2)，四居(3),2018.03.15,"均价18,000元/m²",480-640万元
建屋紫宸庭(商办),在售,[园区]启月街288号（独墅湖体育馆对面）,开间(3),2018.01.16,"均价20,000元/m²",150-422万元
永金公寓(商办),在售,[相城]润元路与齐门北大街交汇,开间(2),2018.03.13,"均价16,000元/m²",72-85万元
景山玫瑰园(别墅),在售,新区 - 华山路与支英街交汇处（新创大河山北侧）,三居(1)，四居(1),2018.03.15,700万元/套,
世茂石湖湾,在售,[吴中-石湖越溪]友新路99号(石湖公园东),二居(1)，三居(2)，四居(2),2018.03.15,"均价28,000元/m²",272-451万元
石湖天玺,在售,吴中 - 吴中大道石湖华城南侧（溪秀路和江北路交汇处）,二居(1)，三居(4)，四居(1)，五居及以上(1),2018.01.19,"均价20,000元/m²",314-410万元
华润凯旋名邸,待售,吴江 - 太湖新城开平路以南，江城大道以西（地铁4号线开平路站）,三居(3)，四居(1),2018.03.15,售价待定,"15,800元/m²"
宏海国际广场,在售,园区 - 苏州工业园区星都街72号(星都街与苏州大道西交叉口东150米...,开间(2),2017.11.23,"均价28,000元/m²",179-221万元
金辉浅湾商业中心,在售,[新区-浒墅关]兴贤路北/京杭大运河东,,,售价待定,总价待定
狮山中心(商办),待售,[新区]狮山路与长江路交汇处,开间(5),2018.01.16,售价待定,总价待定
立德绿筑空间(商办),在售,新区 - 科技城太湖大道北侧（锦峰路与科新路交汇处）,开间(2),2018.01.10,"均价10,000元/m²",57-63万元
融创苏州壹号院,在售,[吴中]吴中太湖新城东太湖路和绍山路交汇处,三居(3)，四居(4),2018.03.07,"均价25,000元/m²",320-418万元
国瑞熙墅,待售,[吴中-木渎]竹园路与中环交汇处,三居(2),2017.12.22,"均价35,000元/m²",413-455万元
颐和湾花园,在售,[吴中]太湖西路199号（东吴塔西500米）,三居(4)，四居(2)，五居及以上(1),2018.01.09,"均价30,000元/m²",429-576万元
绿地萃雅院,在售,[吴江-松陵]秋枫街1188号,三居(2)，四居(1),2018.03.15,"均价18,000元/m²",166-300万元
枫丹壹號,待售,[吴江-松陵]吴江开平路与冬梅街交叉口,二居(1)，三居(4)，四居(10)，五居及以上(1),2018.03.15,"最低19,000元/m²起",275-616万元
苏州凤凰文化广场(商办),在售,园区 - 星都街80号（苏华路与星都街交汇处）,不限(8),,"均价17,000元/m²",201-660万元
苏州城市生活广场(商办),在售,姑苏 - 苏人民路北延线与平泷路交叉口西南侧,一居(7)，二居(2),2018.03.01,"均价13,000元/m²",53-133万元
绿地中央广场(商办),在售,[新区]稼先路、科研路交汇处（致远国际商...,,2018.03.06,"均价9,000元/m²",59-81万元
建屋恒业天著,在售,[园区-青剑湖]工业园区夷浜路88号,二居(2)，三居(1),2018.01.18,"均价26,000元/m²",226-281万元
建屋海德公园,待售,[园区]翰林路1号（林泉街翰林小学东）,三居(7)，四居(2),2018.01.18,"均价24,500元/m²",267-417万元
华谊兄弟艺术家村(别墅),在售,园区 - 园区阳澄湖半岛（国家级旅游度假区）,不限(3),2017.12.21,301-406万元/套,
苏州百脑汇科技中心,在售,[姑苏]广济南路258号,,2018.01.26,"均价14,000元/m²",62-140万元
新沧商贸中心,在售,[姑苏]苏州市吴中西路与长吴路交汇处,开间(2),2018.01.18,"均价17,000元/m²",68-80万元
苏州星健中心(商办),在售,姑苏 - 人民路与城北东路交汇处（平江万达斜对面）,开间(4),2018.02.24,"均价12,000元/m²",76-97万元
津西新天地(商办),在售,[新区]塔园路与何山路交口,开间(1),2018.01.18,"均价16,000元/m²",80万元
乐嘉汇商务广场(商办),在售,[新区]狮山路金狮大厦108号（地铁一号...,,2018.01.04,"均价20,000元/m²",90-184万元
姑苏裕沁庭西区,在售,[相城]苏州市相城区元和街道文灵路777号,二居(3)，四居(2),2018.02.28,"均价23,500元/m²",212万元
协鑫广场,在售,[园区-湖东]园区现代大道与思安街交汇处,二居(2),2017.04.05,"均价35,000元/m²",368万元
中南锦苑,在售,园区 - 园区南邻朝阳路，北邻敦煌路，西邻沙浜路（湖东欧尚往南500米...,三居(2),2018.01.18,"均价30,000元/m²",375-405万元
当代万国府(商办),在售,[姑苏-平江新城]苏站路与江乾路交界处（...,,2018.01.18,"均价30,000元/m²",300-600万元
蓝天广场(商办),在售,新区 - 滨河路与马运路交叉口（苏州鑫苑国际城市花园北面）,开间(2),2017.11.08,"均价17,000元/m²",94-102万元
招商公园1872,在售,相城 - 相城虎丘湿地公园北、华元路与西环延伸段交界处,三居(2),2018.03.08,"均价18,300元/m²",220-272万元
兆润云顶汇,在售,园区 - 苏州大道东266号一楼（南施街站东侧）,一居(1)，二居(2),2017.04.06,"均价28,000元/m²",398万元
泰禾华发姑苏院子,在售,[姑苏-石路]西园路与桐泾北路往西100米,四居(2),2018.02.02,"均价35,000元/m²",455万元
朗诗人民路8号,在售,[姑苏]人民路南环路交汇处,不限(1)，三居(2)，四居(3)，五居及以上(1),2017.10.20,"均价36,500元/m²",469-741万元
泰禾华发姑苏院子(别墅),在售,[姑苏-石路]西园路与桐泾北路往西100米,三居(4)，四居(1)，五居及以上(2),2018.02.02,550-870万元/套,
