小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
泛悦城市广场,待售,成华 - 昭觉寺横街与川陕路交汇处（环昭觉寺南路（昭觉寺横路段）,二居(2)，三居(6),2017.12.29,售价待定,总价待定
恒大中央广场二期（雲門）,待售,[成华]东三段19号（双林北支路北70米）,三居(6)，四居(7)，五居及以上(3),2018.01.26,售价待定,总价待定
太阳公元,待售,[成华]一环路建设巷13号,二居(1)，三居(6)，四居(1),2017.07.19,售价待定,总价待定
锦府,待售,[成华]御风一路35号（信和御龙山旁）,二居(1)，三居(4),2017.12.29,售价待定,总价待定
成华奥园广场,待售,[成华]跳蹬河南路18号,二居(2)，三居(5)，四居(1),2018.01.26,售价待定,总价待定
SM锦悦,待售,[成华]建业路33号,二居(3)，三居(2),2017.12.29,售价待定,总价待定
华宇旭辉锦绣花城(别墅),待售,[成华]龙潭立交外路桂林西路（龙潭路与桂...,,2017.06.12,总价待定,
凤凰1号,售罄,[青白江]凤凰大道二段888号（凤凰湖公...,二居(1)，三居(1),2017.05.16,"均价4,000元/m²",总价待定
公园世家,售罄,[青白江]凤凰大道2段699号（田园广场正对面）,二居(4)，三居(1)，五居及以上(1),2017.06.16,"均价4,500元/m²",总价待定
怡湖玫瑰苑,售罄,[青白江]清江北路（怡湖公园旁）,二居(1)，三居(2),2017.05.23,"均价4,600元/m²",总价待定
清华逸景,售罄,[青白江]石家碾中路139号（凤凰大酒店对面）,一居(1)，二居(2)，三居(7),2017.07.19,"均价3,800元/m²",25万元
嘉和瑞景,售罄,[青白江]华逸路111号（华逸路与红阳路...,一居(2)，二居(7)，三居(4),2017.07.19,"均价4,000元/m²",28万元
融城云熙,在售,[青羊]顺城街316号（冠城大厦北侧20米）,三居(1),2018.01.11,"均价15,000元/m²",93-186万元
紫御熙庭,在售,[青羊]西货站路355号,二居(2)，三居(1)，四居(1),2017.06.26,"均价15,500元/m²",181万元
恒大广场,在售,[青羊]提督街99号,三居(1)，四居(1)，五居及以上(1),2017.07.19,"均价27,000元/m²",383-591万元
蓝光雍锦园,在售,[青羊]清源二路126号,四居(4),2017.06.21,"均价21,000元/m²",399万元
天祥尚府,售罄,[青羊]二环路西一段155号（光华村街2号）,四居(2)，五居及以上(6),2017.06.16,"均价16,000元/m²",总价待定
金沙大境湾,售罄,青羊 - 金沙遗址公园旁同怡路159号（金沙遗址公园旁）,四居(2)，五居及以上(1),,"均价14,834元/m²",总价待定
SG珊顿道,售罄,[青羊]正府街77号（中国银行大厦背后）,一居(7)，二居(9)，三居(2),2017.05.24,"均价20,000元/m²",总价待定
朗诗西溪里,售罄,青羊 - 青羊区大庆路74号（地铁2号线白果林站D出口）,二居(1)，三居(2)，四居(1),,"均价12,000元/m²",总价待定
金隅大成珑熙郡商业(商铺),在售,[武侯]聚龙路999号（双楠尚品广场旁）,,2018.02.28,"最低20,000元/m²起",60万元起
长虹和悦府,售罄,[青羊]光华大道一段（树德中学对面500米）,二居(1)，三居(2)，四居(1),,"均价9,800元/m²",总价待定
世豪金街(公寓),在售,[武侯]武青南路与武科东二路交汇处,,2018.03.01,"均价12,000元/m²",65-84万元
中海熙苑,在售,[武侯]双楠果盛路36号,二居(2)，三居(8)，四居(1),2017.07.18,"均价14,800元/m²",115-200万元
富临锦外(商铺),在售,[武侯]一环路南四段19号,,2018.02.28,"最低20,000元/m²起",120万元起
双楠港汇广场,在售,[武侯]武阳大道二段261号,一居(1)，二居(4),2018.01.26,"均价16,000元/m²",131-147万元
阳光城檀府,在售,[武侯]万兴路与聚萃街交汇处（武侯万达旁）,三居(2)，四居(4),2017.10.09,"均价17,500元/m²",189-254万元
金辉枫尚,售罄,[武侯]武侯大道果堰路1号,二居(6)，三居(10),,"均价8,200元/m²",总价待定
中海锦城,售罄,[武侯]铁佛段（小平广场对面）,二居(4)，三居(2)，四居(1),,"均价10,509元/m²",总价待定
万茂UIC(公寓),售罄,[武侯]武侯大道与聚龙路交汇处,,2017.09.05,售价待定,总价待定
天邑大酒店(写字楼),售罄,[武侯]武侯二环路西一段2号,,,售价待定,总价待定
融创天朗锦邸,售罄,[武侯]一环路西一段31号（成都体院旁）,一居(8)，二居(10)，三居(9)，五居及以上(1),,"均价12,500元/m²",总价待定
蓝光金悦城,售罄,[武侯]成双大道福锦路二段（簇桥工商所旁）,二居(1)，三居(5),2017.02.03,"均价13,500元/m²",总价待定
颐和京都四期,售罄,青羊 - 青羊培风路276号（成都实验小学西区旁）,一居(1)，二居(4)，三居(7)，四居(8),2017.03.15,"均价11,000元/m²",总价待定
锦座名都,售罄,[武侯]南2.5环武阳大道二段与永顺路交汇处,一居(3)，二居(13),,"均价9,100元/m²",总价待定
龙湖金楠时光,售罄,[武侯]晋阳路与晋吉北路交汇处,二居(2)，三居(1),,"均价10,658元/m²",总价待定
嘉楠美地,售罄,[武侯]武青北路5号（元元大酒店对面）,一居(2)，二居(6)，三居(1),,"均价7,417元/m²",总价待定
东原时光道,售罄,青羊 - 光华大道东4路78号（万家湾公交站旁边）,二居(1)，三居(2),2016.11.18,"均价11,000元/m²",总价待定
国一梦巢,售罄,[青羊]光华大道南二路238号,一居(4)，二居(6)，三居(2),2017.11.22,"均价10,000元/m²",总价待定
城置尚豪庭,售罄,"青羊 - 青羊草市街38号（地铁1号线文殊院站,政务中心旁）",一居(6)，二居(6),,"均价13,360元/m²",总价待定
海亮爱金沙,售罄,[青羊]蜀鑫路与公园路交汇处,二居(3)，三居(4),2017.04.27,"均价12,000元/m²",总价待定
金地金沙府邸,售罄,[青羊]蜀辉路465号,二居(1)，三居(1),2016.12.16,"均价13,000元/m²",总价待定
新希望锦官阁,待售,[锦江]静康路与静沙北路交汇处,三居(2)，四居(2),2017.06.12,售价待定,总价待定
J7金林中心,待售,[锦江]经天路1号,一居(3)，二居(4),2017.07.20,售价待定,总价待定
成都ICC天峻,待售,[锦江]东大路328号,一居(5)，二居(4),2017.06.16,售价待定,总价待定
西部国际金融中心,待售,[锦江]下东大街段258号,二居(5),2017.07.18,售价待定,总价待定
中港CCPARK,待售,[锦江]二环路与琉璃路交汇处,二居(2)，三居(12),2017.06.27,售价待定,总价待定
仁恒滨河湾,待售,锦江 - 锦江二环路东四段外侧汇源东路（正对塔子山公园）,二居(2)，三居(2)，四居(5),2018.01.12,售价待定,总价待定
西部国际金融中心写字楼(写字楼),待售,[锦江]锦江东大街下东大街段258号,,2017.06.09,售价待定,总价待定
恒大望江华府(别墅),待售,锦江 - 攀成钢东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,不限(10),2018.02.02,总价待定,
首创娇子1号,在售,[锦江]南三环娇子立交外侧,不限(2)，三居(7)，四居(1),2017.07.18,售价待定,总价待定
红星国际写字楼(写字楼),在售,[锦江]锦江红星路二段159号,,2017.06.27,售价待定,总价待定
成都ICC写字楼(写字楼),待售,[锦江]锦江东大路二环路外沙河畔,,2017.06.09,售价待定,总价待定
华固一品,待售,[锦江]水杉街369号,三居(3),2017.06.27,售价待定,总价待定
万达瑞华中心(写字楼),在售,[锦江]锦江滨江中路9号,,2017.06.27,售价待定,总价待定
东府九座(写字楼),在售,[锦江]东府街33号,,2017.06.27,售价待定,总价待定
Cosmo天廊,待售,[锦江]上沙河铺街66号（地铁2号线塔子...,,2017.07.18,售价待定,总价待定
隆鑫印象东方,待售,成华 - 东三环凯德广场魅力城店向东500米,三居(3)，四居(2),2017.12.29,售价待定,总价待定
成都中洲里程,待售,[成华-万年场]五桂路10号,二居(1)，三居(9),2018.01.19,售价待定,总价待定
华润二十四城,待售,成华 - 二环路东三段双成二路33号（万象城旁）,三居(2)，四居(2),2018.01.12,售价待定,总价待定
永立星城都,待售,[成华]二环路北四段3号（原512建材市场）,,2017.11.17,售价待定,总价待定
台州商人大厦(公寓),在售,[成华]四川省成都市成华区昭觉寺横路26号,,2018.01.19,售价待定,总价待定
华宇旭辉锦绣花城,待售,[成华]龙潭立交外路桂林西路（龙潭路与桂...,,2018.01.19,售价待定,总价待定
泰博理想城,待售,成华 - 北一路（北至铁道部成都木材防腐厂，南至二仙桥北路，西至二仙桥...,三居(1),2018.01.26,"均价10,250元/m²",总价待定
招商中央华城花园上(写字楼),待售,[成华]杉板桥路与中环路交汇处,不限(1),2017.07.14,售价待定,总价待定
恒河广场(公寓),待售,[成华-建设路]二环路东二段建设路口(伊...,,2018.02.01,售价待定,总价待定
时光俊园,售罄,[青羊]一段成飞大道西侧（大公园西北侧）,三居(3),,"均价10,444元/m²",总价待定
保利林语溪,待售,成华 - 龙港路与华盛路交汇处（龙潭水乡向北500米）,三居(6)，四居(1),2017.12.29,"均价9,750元/m²",93-105万元
汇厦少城,售罄,[青羊]包家巷旁,一居(3)，二居(8)，三居(3),,"均价12,500元/m²",总价待定
金沙愉景,售罄,[青羊]清波路388号,三居(4),,"均价8,500元/m²",总价待定
欧韵金沙,售罄,[青羊]蜀辉路686号,一居(1)，二居(3)，三居(1),,"均价10,615元/m²",总价待定
中铁西城,售罄,[青羊]光华大道一段树德中学斜对面,二居(2)，三居(2)，四居(2)，五居及以上(2),,"均价12,144元/m²",总价待定
汇厦少城文墨阁,售罄,[青羊]文庙西街79号,一居(1)，二居(7)，三居(2),,售价待定,总价待定
金沙海棠金汇广场(商铺),售罄,[青羊]青羊苏坡东路,,,售价待定,总价待定
成都恒大翡翠华庭,售罄,[青羊]光华南三路（万家湾公交总站旁）,二居(1)，三居(4),2016.11.14,"均价14,500元/m²",总价待定
潮蓉金沙彦府,售罄,青羊 - 青羊区龙栖路201号（黄苑街与三环路交汇处）,二居(4)，五居及以上(2),2017.05.23,"均价15,000元/m²",总价待定
恒大锦城,待售,成华 - 东三环路东一段桂林西路18号（龙潭路与桂林西路交汇处200米...,三居(11)，四居(4)，五居及以上(2),2018.02.23,"均价10,000元/m²",93-129万元
金沙鹭岛四期,售罄,[青羊]三环路西四段内侧内金沙金阳路,二居(2)，三居(4),2017.11.22,"均价10,500元/m²",总价待定
金沙云庭,售罄,[青羊]金沙遗址路，金沙派出所旁,二居(1)，四居(1),,"均价17,368元/m²",总价待定
天越,售罄,[青羊]青羊长顺街139号（新城市广场对面）,一居(5)，二居(3),2016.11.14,"均价16,000元/m²",总价待定
中大君悦金沙,售罄,[青羊]清江西路（西单商场西侧）,一居(3)，二居(10)，三居(2)，四居(1),,"均价9,800元/m²",总价待定
合能西贵金沙,售罄,[青羊]金沙遗址路88号（摸底河公园对面）,二居(3),,"均价16,436元/m²",总价待定
海亮樾金沙,售罄,青羊 - 蜀鑫路与清波路交汇处（华润金悦湾对面）,二居(1)，三居(4)，四居(1),2017.07.19,"均价17,000元/m²",总价待定
首创花与城,在售,[成华]荆竹东路（海滨公园旁）,二居(1)，三居(6)，四居(1),2018.01.26,"均价16,500元/m²",98-129万元
