小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
云锦东方,在售,[徐汇-龙华]龙兰路399弄,四居(2)，五居及以上(1),2017.03.20,"均价110,000元/m²","4,060-4,740万元"
尚海湾豪庭二期,在售,[徐汇-龙华]凯滨路18，19弄（近龙腾大道）,二居(2)，三居(5)，四居(1)，五居及以上(1),2018.01.27,"最低155,000元/m²起","4,371万元起"
宛平88,在售,[徐汇-徐家汇]徐汇宛平南路88号,四居(3),2017.03.21,"均价150,000元/m²","5,220-5,745万元"
徐汇公园道壹号,售罄,[徐汇-南站]徐汇区宾阳路18弄,二居(1)，三居(2)，四居(1),2018.01.26,售价待定,总价待定
百汇园,售罄,[徐汇-龙华]徐汇区宛平南路1518弄,二居(2)，三居(2),2017.11.16,"均价90,000元/m²",总价待定
保利西岸,售罄,[徐汇-龙华]徐汇宛平南路1415号（近...,,2016.02.28,"均价95,000元/m²",总价待定
印象欧洲,售罄,[徐汇-华泾]徐汇望月路909弄,四居(2),2017.03.01,"均价85,000元/m²",总价待定
尚海湾豪庭,售罄,[徐汇-龙华]凯滨路18，19弄（近龙腾大道）,四居(4),2017.02.09,"均价110,000元/m²",总价待定
印象欧洲别墅,售罄,[徐汇-华泾]望月路909弄1～42号,三居(1),2018.03.02,总价待定,
徐汇中凯城市之光,售罄,[徐汇-徐家汇] 徐汇南丹路377弄（近...,四居(1),2015.12.22,"均价90,000元/m²",总价待定
中福浦江汇,待售,[黄浦-陆家嘴滨江] 黄浦海潮路133弄...,一居(1)，二居(2),2018.01.28,售价待定,总价待定
露香园,待售,[黄浦-老西门]黄浦区露香园路1号（近淮...,四居(2)，五居及以上(1),2018.02.25,售价待定,总价待定
凯迪迪美逊,未售,[黄浦-打浦桥]上海市黄浦区卢湾龙华东路...,,2018.02.25,"均价80,000元/m²",总价待定
城市一品苑,待售,"[黄浦-淮海中路] 黄浦陕西南路3号
",开间(2),2017.04.11,"均价100,000元/m²",总价待定
卢湾68,未售,[黄浦-打浦桥]鲁班路68号,开间(4),2017.03.20,"均价90,000元/m²",总价待定
翠湖天地隽荟,待售,[黄浦-淮海中路]卢湾济南路260弄,,2018.02.25,售价待定,总价待定
泛海国际住区,待售,[黄浦-黄浦滨江]上海黄浦区中华路518号,三居(1),2017.04.06,"均价160,000元/m²",总价待定
日月光中心伯爵居,待售,[黄浦-打浦桥]上海市黄浦区徐家汇路61...,一居(1)，二居(1),2017.03.08,"均价95,000元/m²",589-675万元
复兴珑御,在售,[黄浦-老西门]黄浦区西藏南路699弄 ,三居(2)，四居(1),2017.04.10,"均价130,000元/m²","2,080-3,744万元"
融创滨江壹號院,待售,[黄浦-打浦桥]黄浦区中山南一路500弄...,不限(1)，三居(1)，四居(3),2017.04.10,"均价130,000元/m²","2,184-3,809万元"
绿地黄浦滨江,在售,[黄浦-老西门]蒙自路778号（近龙华东路）,一居(1)，二居(1)，三居(1),2017.04.11,"均价135,000元/m²","2,390万元"
淡水湾花园二期,在售,[黄浦-打浦桥]卢湾马当路572号,四居(1)，五居及以上(1),2017.02.05,"均价118,000元/m²","2,926-3,953万元"
绿城黄浦湾,在售,[黄浦-黄浦滨江]中山南路566弄（近老码头）,四居(1)，五居及以上(5),2017.02.08,"均价150,000元/m²","3,525-6,600万元"
华润外滩九里国际公寓,在售,[黄浦-黄浦滨江]上海市黄浦区中山南路460号,四居(2)，五居及以上(2),2017.03.13,"均价130,000元/m²","3,840-5,382万元"
凯德茂名公馆,售罄,[黄浦-淮海中路]上海市黄浦区茂名南路9弄 ,二居(1)，四居(3),2018.02.25,售价待定,总价待定
万科海上传奇,待售,[浦东-北蔡]浦东御桥路1751号（华夏...,三居(4),2018.03.13,售价待定,总价待定
远洋万和四季,待售,[浦东-惠南]浦东惠南镇观海路1588弄...,二居(1)，三居(6),2018.03.14,售价待定,总价待定
晶耀名邸,待售,[浦东-三林]浦东海阳西路与耀龙路叉口,三居(1)，四居(1),2018.02.28,售价待定,总价待定
