小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
中国核建紫金一品,在售,[南岸-弹子石]学苑路3号,二居(12),2017.08.10,售价待定,总价待定
雅居乐御宾府,待售,[大渡口-双山]双山路306号,不限(5)，一居(2)，二居(1)，三居(9)，四居(4),2017.07.06,售价待定,总价待定
融创春晖十里,待售,[大渡口]春晖南金桥路车家坪,二居(9)，三居(2)，四居(1),2017.08.18,售价待定,总价待定
铭鑫鼎尚源,待售,[大渡口-建桥工业园]尚源路66号,二居(3)，三居(2),2017.07.26,售价待定,总价待定
融创春晖十里(公寓),待售,[大渡口]春晖南金桥路车家坪,二居(9)，三居(2)，四居(1),2017.08.18,售价待定,总价待定
国瑞爱与山,待售,[大渡口-双山]八桥镇山海路133号,二居(2)，三居(1)，四居(1),2017.06.29,售价待定,总价待定
金科星辰,待售,[大渡口]八桥镇御桥路65号,二居(3)，三居(7),2017.08.17,售价待定,总价待定
恒大麓山湖(别墅),在售,[大渡口-建桥工业园]八桥镇心湖路99号,三居(2)，四居(1)，五居及以上(1),2017.07.28,总价待定,
华润凤凰城,待售,大渡口 - 大渡口区文体路（区政府斜对面、大渡口公园旁）,二居(1)，三居(3)，四居(2),2017.07.19,售价待定,总价待定
保利天汇,待售,[江北-观音桥]重庆市江北区华新街,三居(2)，四居(2)，五居及以上(4),2018.03.14,售价待定,"19,500元/m²"
恒大御龙天峰,待售,[江北-北滨路]北滨一路288号,一居(2)，二居(5)，三居(13)，四居(14),2018.03.14,售价待定,总价待定
东原世界时,待售,[江北]红旗河沟转盘(龙湖新一街旁),二居(4)，三居(2),2018.03.14,售价待定,"16,000元/m²"
龙湖春森彼岸四期,待售,[江北-北滨路]陈家馆A宗E宗,二居(2)，三居(1)，四居(3),2018.03.16,售价待定,总价待定
北大资源海樾府,待售,江北 - 海尔路599号（海尔路中段昆仑好客上行400米左右）,一居(1)，二居(2)，三居(1),2018.03.16,"均价11,500元/m²",76万元
万科金色悦城(公寓),在售,"[沙坪坝-凤天路]凤中路,近煤分院支路",一居(4),2018.03.16,"最低11,000元/m²起",38-43万元
鲁能星城,在售,[渝北-龙头寺]渝鲁大道777号,不限(7)，二居(1),2018.02.07,"最低15,000元/m²起",总价待定
龙湖两江新宸,在售,[渝北-礼嘉]礼仁街26号（礼嘉政府旁）,四居(5),2018.02.07,"最低12,000元/m²起",148-176万元
公园大道,待售,[渝北-中央公园]公园东路,二居(1)，三居(6)，四居(5),2018.02.07,售价待定,208万元
叠彩山,在售,[渝北-悦来]悦城路86号,一居(1)，二居(3)，三居(3)，四居(1),2018.02.23,"均价16,000元/m²",85-207万元
恒大御都会,待售,[渝北-新牌坊]红锦大道78号,三居(6)，四居(1),2018.02.08,售价待定,总价待定
鲁能城中央公馆,待售,[渝北-中央公园]双龙湖街道学成路17号,不限(3)，一居(5)，二居(3)，三居(4),2018.02.24,售价待定,总价待定
华商悦江府,在售,[渝北-悦来]同茂大道（悦来小学旁）,四居(1),2018.02.24,"均价16,000元/m²",178万元
首地江山赋,待售,[渝北-悦来]悦山路,二居(12)，三居(1),2018.02.08,"均价12,600元/m²",总价待定
佳兆业滨江新城,待售,[大渡口-九宫庙]钢城大道南段151号,一居(2)，二居(5)，三居(1),2017.08.21,售价待定,总价待定
九汇元尚元,在售,[大渡口-松青路]思源路19号（思源公园内）,二居(2),2017.08.16,售价待定,总价待定
易度庭院时光（公寓）,待售,[大渡口]钢花路1100号（移动互联网产业园旁）,一居(1)，二居(1)，三居(1),2017.11.15,"均价8,600元/m²",25-53万元
祥和御馨园二期,在售,[大渡口-松青路]松青路1557号,一居(1)，二居(3)，三居(1),2017.07.28,"均价10,500元/m²",47-106万元
易度庭院时光,在售,[大渡口]钢花路1100号（移动互联网产业园旁）,二居(1)，三居(1),2017.11.01,"均价9,200元/m²",50-68万元
天泰钢城印象,在售,[大渡口]兴通路336号,二居(5)，三居(1),2017.07.31,"均价8,700元/m²",56-84万元
华美翡丽山,待售,江北 - 石马河街道江北农场（北滨路西端双碑大桥桥头）,二居(4)，三居(3)，四居(1),2018.02.24,"均价13,000元/m²",67万元
富力城(公寓),在售,[沙坪坝-大学城]中路46号(重庆师范大学对面),不限(1),2018.03.14,"均价8,300元/m²",总价待定
重庆万达城(别墅),待售,[沙坪坝-西永]重庆万达文化旅游城展示中心,二居(8)，三居(29)，四居(10)，五居及以上(1),2017.08.07,总价待定,
西永9号,待售,[沙坪坝-西永]陈家桥轻轨站旁,二居(2)，三居(4)，四居(2),2017.07.10,售价待定,总价待定
金科廊桥水乡,在售,[沙坪坝-大学城]大学城学智路155号,二居(11)，四居(1)，五居及以上(2),2017.07.31,售价待定,总价待定
书香溪墅(别墅),在售,[沙坪坝-大学城]大学城南二路1035号,不限(6)，二居(5)，三居(2),2017.08.21,总价待定,
金科廊桥水乡(别墅),在售,[沙坪坝-大学城]大学城学智路155号,二居(11)，四居(1)，五居及以上(2),2017.07.31,总价待定,
重庆万达城(公寓),待售,[沙坪坝-西永]重庆万达文化旅游城展示中心,二居(8)，三居(29)，四居(10)，五居及以上(1),2017.08.07,售价待定,总价待定
国盛园墅,在售,[沙坪坝-西永]商务中心区·西尊路188号,不限(2)，一居(1)，二居(1)，三居(1)，四居(1)，五居及以上(2),2017.08.21,售价待定,总价待定
金融街金悦府,待售,[沙坪坝-磁器口]沙坪坝磁器口,二居(5),2017.06.28,售价待定,总价待定
华润二十四城,在售,[九龙坡-谢家湾]谢家湾正街47号（万象城旁）,不限(3)，二居(3)，三居(7)，四居(7)，五居及以上(4),2018.03.14,"最低22,000元/m²起",264-374万元
江北嘴新鸥鹏教育城,待售,[江北-江北嘴]北滨二路（中央公园旁）,三居(2)，四居(2),2018.02.24,"均价20,000元/m²",284-344万元
保利观澜,待售,[江北-海尔路]寸滩街道凤澜路86号,一居(2)，二居(8)，三居(6)，四居(3),2018.02.07,"最低17,000元/m²起",116-162万元
凤凰湾,在售,江北 - 北滨路西段宏帆路32号（原江北农场）,一居(6)，二居(16)，三居(6)，四居(1),2018.02.08,"均价16,600元/m²",66-164万元
宝嘉花与山(公寓),在售,沙坪坝 - 大学城西路(重庆大学虎溪花园旁),一居(6)，二居(6)，三居(8),2017.08.09,售价待定,总价待定
印江州,在售,[九龙坡]九龙坡印江州销售中心,三居(1),2018.03.14,"均价22,000元/m²",总价待定
华宇锦绣花城,在售,[九龙坡-华岩新城]华福大道北段69号,二居(12)，三居(7)，四居(3),2018.02.28,售价待定,总价待定
北大资源燕南,待售,[九龙坡-杨家坪]兴堰路11号,一居(6)，二居(7)，三居(8)，四居(1),2018.01.30,"最低12,500元/m²起",总价待定
弘悦101,在售,[九龙坡-二郎]火炬大道100号（渝高中学旁）,一居(1)，二居(1),2017.07.27,"均价14,000元/m²",62-94万元
日月光解放碑1号,在售,[渝中-解放碑]民权路88号,二居(3)，三居(4)，四居(2)，五居及以上(1),2017.08.22,"均价30,000元/m²",180-660万元
鎏嘉码头(公寓),在售,[江北-北滨路]北滨路一号(黄花园大桥下),,2018.02.08,"最低18,000元/m²起",88-223万元
华融现代城,待售,[江北-海尔路]港兴路11号,一居(2)，二居(2)，三居(3),2018.02.22,"均价11,000元/m²",总价待定
东原世界时（公寓）,在售,[江北]红旗河沟转盘(龙湖新一街旁),不限(1)，开间(2),2018.02.08,"均价18,000元/m²",54-85万元
煌华晶萃城,在售,江北 - 江北华新街（观音桥商圈200米处）,一居(4)，二居(5)，三居(1),2018.01.31,"均价17,500元/m²",56万元
宝嘉花与山(别墅),在售,沙坪坝 - 大学城西路(重庆大学虎溪花园旁),一居(6)，二居(6)，三居(8),2017.08.09,总价待定,
天成郦湖国际社区,待售,九龙坡 - 冬山路7号（在建轻轨5号线华成路站前行700米）,二居(2)，三居(8),2017.08.01,售价待定,总价待定
融创白象街,在售,[渝中-解放碑]凯旋路16号,一居(3)，二居(1)，四居(2)，五居及以上(4),2017.08.09,"均价30,000元/m²","633-1,434万元"
鹅岭峰,在售,[渝中-两路口]重庆市渝中区鹅岭正街58号,三居(1)，四居(6),2017.07.28,"均价50,000元/m²","870-1,705万元"
协信阿卡迪亚(公寓),售罄,[渝中-大坪]石油路102号(六店子小学旁),一居(3)，二居(4)，三居(1)，四居(2)，五居及以上(2),,售价待定,总价待定
中核鹅岭一品(公寓),售罄,[渝中-两路口]长江一路（重庆建委旁）,一居(2)，二居(3)，三居(1),2016.10.26,售价待定,总价待定
协信阿卡迪亚(别墅),售罄,[渝中-大坪]石油路102号(六店子小学旁),一居(3)，二居(4)，三居(1)，四居(2)，五居及以上(2),,总价待定,
海宇学府江山,在售,[北碚-城南新区]北碚文藻路（城南中医院旁）,二居(5)，三居(1)，四居(1),2017.08.01,"均价6,800元/m²",总价待定
重庆万达城,待售,[沙坪坝-西永]重庆万达文化旅游城展示中心,二居(8)，三居(29)，四居(10)，五居及以上(1),2017.08.07,售价待定,总价待定
龙湖拉特芳斯(公寓),待售,沙坪坝 - 西永国际商务区（轻轨1号线微电园站旁）,不限(3)，一居(4)，二居(5)，三居(3),2017.08.15,售价待定,总价待定
